,MSZoning,LotShape,BldgType,OverallQual,YearRemodAdd,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,1stFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageCars,PavedDrive
0,0.5,1.0,0.0,0.6666666666666665,0.09836065573770493,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,1.0,0.3561547482043825,0.5777122882260084,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,1.0
1,0.5,1.0,0.0,0.5555555555555556,0.5245901639344263,1.0,0.5,0.25,0.0,0.0,1.0,0.5030560164904583,0.4702445078729567,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0
2,0.5,0.0,0.0,0.6666666666666665,0.11475409836065575,0.3333333333333333,0.5,0.75,0.3333333333333333,0.0,1.0,0.3834410394874981,0.5930951586829399,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0
3,0.5,0.0,0.0,0.6666666666666665,0.6065573770491803,1.0,1.0,1.0,0.0,0.5,1.0,0.39994101331885457,0.5791574328965412,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6000000000000001,1.0,0.75,1.0
4,0.5,0.0,0.0,0.7777777777777777,0.14754098360655735,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,1.0,0.4662370521602308,0.6665228823649914,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.75,1.0
5,0.5,0.0,0.0,0.4444444444444445,0.2459016393442623,1.0,0.5,1.0,0.3333333333333333,0.0,1.0,0.3286535459838906,0.4972202460326831,0.3333333333333333,1.0,0.0,0.0,1.0,0.5,1.0
6,0.5,1.0,0.0,0.7777777777777777,0.049180327868852465,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0,0.6144648399515797,0.574386761705187,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0
7,0.5,0.0,0.0,0.6666666666666665,0.6065573770491803,1.0,0.5,0.75,0.0,0.0,1.0,0.4534645543861125,0.6486996026216678,0.3333333333333333,1.0,0.6666666666666666,0.0,0.6666666666666666,0.5,1.0
8,0.75,1.0,0.0,0.6666666666666665,0.9672131147540984,1.0,1.0,1.0,1.0,0.5,1.0,0.42323069565212057,0.5907103163127223,0.0,1.0,0.6666666666666666,0.6000000000000001,1.0,0.5,1.0
9,0.5,1.0,0.25,0.4444444444444445,0.9672131147540984,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.4430673797326055,0.41416859178121257,0.3333333333333333,1.0,0.6666666666666666,0.0,0.6666666666666666,0.25,1.0
10,0.5,1.0,0.0,0.4444444444444445,0.7213114754098361,1.0,1.0,1.0,0.8333333333333333,0.0,1.0,0.4298378473389533,0.4018019472209433,0.3333333333333333,1.0,0.0,0.6000000000000001,1.0,0.25,1.0
11,0.5,0.0,0.0,0.8888888888888888,0.016393442622950817,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.4782724747997293,0.6862416243752785,0.3333333333333333,0.0,0.6666666666666666,0.4,0.0,0.75,1.0
12,0.5,0.3333333333333333,0.0,0.4444444444444445,0.7704918032786886,1.0,1.0,1.0,0.0,1.0,1.0,0.3801359236917197,0.35534179992186843,0.3333333333333333,1.0,0.0,0.6000000000000001,1.0,0.25,1.0
13,0.5,0.0,0.0,0.6666666666666665,0.016393442622950817,0.3333333333333333,0.5,0.0,1.0,0.0,1.0,0.5669201728114759,0.5299431652300703,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.75,1.0
14,0.5,0.0,0.0,0.5555555555555556,0.8032786885245902,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.5003475356023279,0.4677126859275447,0.3333333333333333,1.0,0.3333333333333333,0.0,0.6666666666666666,0.25,1.0
15,0.75,1.0,0.0,0.6666666666666665,0.11475409836065575,1.0,1.0,1.0,1.0,0.0,1.0,0.3552695235828791,0.3320972949394383,0.0,1.0,0.0,0.6000000000000001,1.0,0.5,1.0
16,0.5,0.0,0.0,0.5555555555555556,0.6721311475409837,1.0,1.0,1.0,0.0,0.0,1.0,0.4165061353428521,0.38933978765778576,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.5,1.0
17,0.5,1.0,0.5,0.3333333333333333,0.6557377049180328,1.0,0.75,0.5,0.6666666666666666,1.0,1.0,0.5131166042920969,0.4796489002360565,0.0,1.0,0.0,1.0,1.0,0.5,1.0
18,0.5,1.0,0.0,0.4444444444444445,0.0819672131147541,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.4558500044026062,0.4261174778897701,0.3333333333333333,0.6666666666666666,0.0,0.6000000000000001,1.0,0.5,1.0
19,0.5,1.0,0.0,0.4444444444444445,0.7377049180327869,1.0,1.0,1.0,0.5,1.0,1.0,0.5254688463399919,0.4911954751552141,0.0,1.0,0.0,0.0,1.0,0.25,1.0
20,0.5,0.0,0.0,0.7777777777777777,0.016393442622950817,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.4705094671360337,0.6940696095250574,0.0,0.6666666666666666,0.3333333333333333,0.4,0.6666666666666666,0.75,1.0
21,0.75,1.0,0.0,0.6666666666666665,0.9508196721311476,1.0,1.0,1.0,1.0,0.0,1.0,0.4538062549539186,0.4242070306985832,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.25,0.0
22,0.5,1.0,0.0,0.7777777777777777,0.11475409836065575,0.3333333333333333,0.5,1.0,1.0,0.0,1.0,0.6363808334013008,0.5948732984257088,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0
23,0.75,1.0,1.0,0.4444444444444445,0.5245901639344263,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.4370463196328696,0.4085402514957175,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0,0.5,1.0
24,0.5,0.0,0.0,0.4444444444444445,0.16393442622950818,1.0,1.0,0.75,0.8333333333333333,0.0,1.0,0.4370463196328696,0.4085402514957175,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,0.25,1.0
25,0.5,1.0,0.0,0.7777777777777777,0.049180327868852465,0.3333333333333333,0.5,1.0,1.0,0.0,1.0,0.5928604707488017,0.5541915237383659,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.75,1.0
26,0.5,1.0,0.0,0.4444444444444445,0.18032786885245905,1.0,1.0,0.75,0.16666666666666666,1.0,1.0,0.37512348811968543,0.3506562972709704,0.0,0.6666666666666666,0.0,0.6000000000000001,1.0,0.5,1.0
27,0.5,1.0,0.0,0.7777777777777777,0.049180327868852465,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,0.6166922351584065,0.5764688764767789,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.75,1.0
28,0.5,0.0,0.0,0.4444444444444445,0.16393442622950818,1.0,1.0,0.25,0.16666666666666666,1.0,1.0,0.5928604707488017,0.5541915237383659,0.3333333333333333,1.0,0.6666666666666666,0.0,0.6666666666666666,0.25,1.0
29,0.75,0.0,0.0,0.3333333333333333,0.9672131147540984,1.0,1.0,1.0,1.0,0.25,0.0,0.16752783558405193,0.1566009390939036,0.0,0.3333333333333333,0.0,0.6000000000000001,1.0,0.25,1.0
30,1.0,1.0,0.0,0.3333333333333333,0.9672131147540984,1.0,1.0,1.0,1.0,1.0,0.0,0.2513901444695348,0.4853350202457341,0.0,1.0,0.0,0.6000000000000001,1.0,0.25,0.0
31,0.5,0.0,0.0,0.4444444444444445,0.049180327868852465,1.0,1.0,1.0,1.0,0.5,1.0,0.4927206480104784,0.4605832572264377,0.0,0.6666666666666666,0.0,0.0,1.0,0.25,1.0
32,0.5,1.0,0.0,0.7777777777777777,0.032786885245901634,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.4945651684117696,0.4623074699580889,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,1.0
33,0.5,0.0,0.0,0.4444444444444445,0.8524590163934427,1.0,1.0,1.0,0.8333333333333333,0.5,1.0,0.6158028496652954,0.5756375005866046,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0
34,0.5,1.0,1.0,0.8888888888888888,0.049180327868852465,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.5835218755435285,0.5454620324638855,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.5,1.0
35,0.5,1.0,0.0,0.7777777777777777,0.032786885245901634,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.4619158514182025,0.7052076551549962,0.0,0.6666666666666666,0.3333333333333333,0.4,0.0,0.75,1.0
36,0.5,1.0,0.0,0.4444444444444445,0.2459016393442623,1.0,0.5,1.0,1.0,0.0,1.0,0.4500304713552129,0.4206775201828461,0.0,1.0,0.0,0.0,1.0,0.5,1.0
37,0.5,1.0,0.0,0.4444444444444445,0.3278688524590164,1.0,1.0,1.0,0.8333333333333333,0.5,1.0,0.5134084927393747,0.4799217504450679,0.0,1.0,0.3333333333333333,0.0,0.0,0.5,1.0
38,0.5,1.0,0.0,0.4444444444444445,0.06557377049180327,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.4359737633557197,0.407537652019355,0.3333333333333333,0.6666666666666666,0.0,0.6000000000000001,1.0,0.25,1.0
39,0.5,1.0,0.5,0.3333333333333333,0.8852459016393444,1.0,0.75,0.5,0.6666666666666666,1.0,0.0,0.4685435751663127,0.4379831185764127,0.0,0.3333333333333333,0.0,0.8,0.3333333333333333,0.0,0.0
40,0.5,1.0,0.0,0.5555555555555556,0.6885245901639345,1.0,1.0,1.0,0.8333333333333333,0.0,1.0,0.5212055640775229,0.4872102627658972,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0
